origin,destination,people,reason_group,source_status,period,origin_code,destination_code
전북특별자치도,부산광역시,113,population_movement,official_mois,202605,5200000000,2600000000
대전광역시,전라남도,112,population_movement,official_mois,202605,3000000000,4600000000
전라남도,경상북도,109,population_movement,official_mois,202605,4600000000,4700000000
부산광역시,강원특별자치도,108,population_movement,official_mois,202605,2600000000,5100000000
경상북도,전라남도,107,population_movement,official_mois,202605,4700000000,4600000000
광주광역시,부산광역시,105,population_movement,official_mois,202605,2900000000,2600000000
광주광역시,충청북도,103,population_movement,official_mois,202605,2900000000,4300000000
부산광역시,전북특별자치도,102,population_movement,official_mois,202605,2600000000,5200000000
경상남도,제주특별자치도,100,population_movement,official_mois,202605,4800000000,5000000000
대전광역시,광주광역시,99,population_movement,official_mois,202605,3000000000,2900000000
제주특별자치도,대구광역시,98,population_movement,official_mois,202605,5000000000,2700000000
울산광역시,인천광역시,97,population_movement,official_mois,202605,3100000000,2800000000
제주특별자치도,충청남도,97,population_movement,official_mois,202605,5000000000,4400000000
제주특별자치도,광주광역시,97,population_movement,official_mois,202605,5000000000,2900000000
경상남도,광주광역시,96,population_movement,official_mois,202605,4800000000,2900000000
제주특별자치도,경상북도,96,population_movement,official_mois,202605,5000000000,4700000000
전북특별자치도,강원특별자치도,95,population_movement,official_mois,202605,5200000000,5100000000
충청남도,울산광역시,94,population_movement,official_mois,202605,4400000000,3100000000
경상북도,전북특별자치도,92,population_movement,official_mois,202605,4700000000,5200000000
울산광역시,대전광역시,89,population_movement,official_mois,202605,3100000000,3000000000
세종특별자치시,전북특별자치도,88,population_movement,official_mois,202605,3600000000,5200000000
전라남도,강원특별자치도,87,population_movement,official_mois,202605,4600000000,5100000000
제주특별자치도,전북특별자치도,87,population_movement,official_mois,202605,5000000000,5200000000
제주특별자치도,전라남도,86,population_movement,official_mois,202605,5000000000,4600000000
부산광역시,광주광역시,84,population_movement,official_mois,202605,2600000000,2900000000
전라남도,제주특별자치도,83,population_movement,official_mois,202605,4600000000,5000000000
강원특별자치도,전북특별자치도,82,population_movement,official_mois,202605,5100000000,5200000000
충청북도,전라남도,82,population_movement,official_mois,202605,4300000000,4600000000
전라남도,대구광역시,80,population_movement,official_mois,202605,4600000000,2700000000
대구광역시,제주특별자치도,79,population_movement,official_mois,202605,2700000000,5000000000
충청남도,제주특별자치도,79,population_movement,official_mois,202605,4400000000,5000000000
경상북도,제주특별자치도,78,population_movement,official_mois,202605,4700000000,5000000000
제주특별자치도,충청북도,76,population_movement,official_mois,202605,5000000000,4300000000
인천광역시,세종특별자치시,74,population_movement,official_mois,202605,2800000000,3600000000
강원특별자치도,전라남도,74,population_movement,official_mois,202605,5100000000,4600000000
울산광역시,충청북도,73,population_movement,official_mois,202605,3100000000,4300000000
대구광역시,전북특별자치도,72,population_movement,official_mois,202605,2700000000,5200000000
광주광역시,경상남도,71,population_movement,official_mois,202605,2900000000,4800000000
충청북도,광주광역시,70,population_movement,official_mois,202605,4300000000,2900000000
광주광역시,경상북도,68,population_movement,official_mois,202605,2900000000,4700000000
울산광역시,전라남도,67,population_movement,official_mois,202605,3100000000,4600000000
전북특별자치도,세종특별자치시,67,population_movement,official_mois,202605,5200000000,3600000000
전라남도,울산광역시,67,population_movement,official_mois,202605,4600000000,3100000000
광주광역시,제주특별자치도,66,population_movement,official_mois,202605,2900000000,5000000000
충청북도,울산광역시,65,population_movement,official_mois,202605,4300000000,3100000000
경상북도,광주광역시,65,population_movement,official_mois,202605,4700000000,2900000000
인천광역시,울산광역시,64,population_movement,official_mois,202605,2800000000,3100000000
경상남도,세종특별자치시,64,population_movement,official_mois,202605,4800000000,3600000000
제주특별자치도,대전광역시,60,population_movement,official_mois,202605,5000000000,3000000000
대구광역시,전라남도,59,population_movement,official_mois,202605,2700000000,4600000000
세종특별자치시,경상북도,59,population_movement,official_mois,202605,3600000000,4700000000
경상북도,세종특별자치시,58,population_movement,official_mois,202605,4700000000,3600000000
제주특별자치도,강원특별자치도,58,population_movement,official_mois,202605,5000000000,5100000000
대구광역시,광주광역시,57,population_movement,official_mois,202605,2700000000,2900000000
광주광역시,강원특별자치도,57,population_movement,official_mois,202605,2900000000,5100000000
강원특별자치도,광주광역시,56,population_movement,official_mois,202605,5100000000,2900000000
전북특별자치도,대구광역시,56,population_movement,official_mois,202605,5200000000,2700000000
대전광역시,울산광역시,53,population_movement,official_mois,202605,3000000000,3100000000
세종특별자치시,인천광역시,53,population_movement,official_mois,202605,3600000000,2800000000
세종특별자치시,경상남도,53,population_movement,official_mois,202605,3600000000,4800000000
세종특별자치시,대구광역시,50,population_movement,official_mois,202605,3600000000,2700000000
충청북도,제주특별자치도,49,population_movement,official_mois,202605,4300000000,5000000000
