period,origin_code,origin,destination_code,destination,people,male,female,age_0_14,age_0_14_male,age_0_14_female,age_15_24,age_15_24_male,age_15_24_female,age_25_39,age_25_39_male,age_25_39_female,age_40_54,age_40_54_male,age_40_54_female,age_55_64,age_55_64_male,age_55_64_female,age_65_plus,age_65_plus_male,age_65_plus_female,level,source_status,source_endpoint
202605,2800000000,인천광역시,4700000000,경상북도,309,184,125,18,10,8,64,36,28,114,73,41,45,30,15,40,24,16,28,11,17,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4800000000,경상남도,200,109,91,6,2,4,34,24,10,81,47,34,31,17,14,17,8,9,31,11,20,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,5000000000,제주특별자치도,142,70,72,7,4,3,25,10,15,53,23,30,26,15,11,19,13,6,12,5,7,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,5100000000,강원특별자치도,380,213,167,13,9,4,93,46,47,114,67,47,70,41,29,48,28,20,42,22,20,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,5200000000,전북특별자치도,250,143,107,11,6,5,52,22,30,85,57,28,44,26,18,21,12,9,37,20,17,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,1100000000,서울특별시,664,321,343,13,5,8,191,83,108,333,171,162,51,30,21,28,10,18,48,22,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2600000000,부산광역시,105,52,53,3,1,2,38,14,24,47,28,19,9,3,6,6,4,2,2,2,0,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2700000000,대구광역시,37,22,15,0,0,0,8,4,4,18,13,5,5,2,3,4,2,2,2,1,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2800000000,인천광역시,152,82,70,8,2,6,32,16,16,71,40,31,16,9,7,15,11,4,10,4,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2900000000,광주광역시,9549,4746,4803,1061,539,522,1033,471,562,3464,1749,1715,1999,1049,950,1057,520,537,935,418,517,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,3000000000,대전광역시,136,76,60,7,1,6,40,20,20,61,37,24,17,12,5,7,4,3,4,2,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,3100000000,울산광역시,28,19,9,0,0,0,7,3,4,12,8,4,4,4,0,3,3,0,2,1,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,3600000000,세종특별자치시,31,19,12,0,0,0,8,5,3,14,8,6,1,1,0,3,2,1,5,3,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4100000000,경기도,640,346,294,23,8,15,119,56,63,314,189,125,84,44,40,56,32,24,44,17,27,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4300000000,충청북도,103,59,44,2,2,0,29,14,15,50,33,17,13,7,6,6,2,4,3,1,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4400000000,충청남도,164,85,79,8,3,5,32,14,18,74,41,33,28,18,10,14,6,8,8,3,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4600000000,전라남도,1947,1003,944,89,42,47,222,117,105,668,336,332,400,211,189,336,190,146,232,107,125,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4700000000,경상북도,68,43,25,0,0,0,15,7,8,42,27,15,5,4,1,3,3,0,3,2,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4800000000,경상남도,71,48,23,0,0,0,15,12,3,29,18,11,17,11,6,6,5,1,4,2,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,5000000000,제주특별자치도,66,40,26,4,3,1,8,3,5,25,18,7,16,7,9,9,6,3,4,3,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,5100000000,강원특별자치도,57,26,31,2,1,1,8,4,4,34,15,19,7,2,5,3,3,0,3,1,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,5200000000,전북특별자치도,386,214,172,8,5,3,110,56,54,148,87,61,52,33,19,39,21,18,29,12,17,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,1100000000,서울특별시,944,472,472,26,11,15,227,89,138,484,266,218,105,57,48,51,28,23,51,21,30,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2600000000,부산광역시,148,75,73,6,4,2,30,17,13,66,36,30,21,11,10,8,0,8,17,7,10,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2700000000,대구광역시,156,84,72,10,6,4,25,12,13,85,49,36,17,9,8,11,5,6,8,3,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2800000000,인천광역시,194,117,77,8,4,4,40,20,20,93,58,35,23,16,7,16,9,7,14,10,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2900000000,광주광역시,99,50,49,11,5,6,19,9,10,42,22,20,14,8,6,5,2,3,8,4,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,3000000000,대전광역시,7972,3966,4006,618,286,332,866,395,471,3177,1649,1528,1566,793,773,893,472,421,852,371,481,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,3100000000,울산광역시,53,26,27,4,0,4,10,5,5,20,9,11,13,9,4,4,2,2,2,1,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
